,,,예상견적,,,,,,(,★,,),,확정서,,,(,,,),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
수신,,민투어,,,,,,,,,,,,작성일,,2025,년,11,월,6,일,,,,,
담당자,,,,,,,,,,,,,,발신,,,,,,,,,,,,
행사기간,,2026,년,6,월,13,일,~,6,월,16,일,,단체명,,대만,3,박,4,일,,,,,,SEOUL
인원,,약 150명,,,,,,,,,,,,객실 수,,,,,,,,,,,,SEOUL
1인요금,,예상가,KRW,,"1,350,000 ",,,,,,,,,,,,,,,,,,,,,
싱글차지,,,KRW,,"330,000 ",,,,3박 싱글비용,,,,,,,,,,,,,,,,,
포함사항,,"호텔3박, 차량, 식사, 관광지 입장료, 가이드 경비 및 팁",,,,,,,,,,,,,,,,,,,,,,,,
불포함사항,,"기타 개인경비, 매너팁, 통역비용",,,,,,,,,,,,,,,,,,,,,,,,
REMARK,,> 노쇼핑 기준,,,,,,,,,,,,,,,,,,,,,,,,
,,> 43인승 차량,,,,,,,,,,,,,,,,,,,,,,,,
,,> 만찬 10인 1테이블 기준,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
미팅보드,,,,,,,,,,가이드 연락처,,,,,,,현지연락처,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,USD
DATE,PLACE,,TRANS,,,TIME,,,TOUR  ITINERARY,,,,,,,,,,,,,MEAL,,,,
제1일,인천,,대한항공,,,10:30,,,인천국제공항 출발,,,,,,,,,,,,,,,,,
13-6월,도      원,,,,,12:10,,,대만 도원 국제공항 도착,,,,,,,,,,,,,,,,,
토요일,,,,,,,,,가이드 미팅 후 중식,,,,,,,,,,,,,,,,,
,타이베이,,,,,,,,> 세계 4대 박물관 국립고궁박물관,,,,,,,,,,,,,중:,현지식,,,
,,,,,,,,,> 석식후 자오궁 관광,,,,,,,,,,,,,석:,현지식,,,
,,,,,,,,,> 라오허제 야시장 관광,,,,,,,,,,,,,,,,,
,,,,,,,,,호텔 휴식  ,,,,,,,,,,,,,,,,,
,,,,,,,,,HOTEL:,,,Chong Yu Hotel - 4성급,,,,,,,,,,,,,,
,,,,,,,,,https://www.chongyuhotel.com.tw/en.html,,,,,,,,,,,,,,,,,
제3일,타이베이,,전용버스,,,전 일,,,호텔 조식 후,,,,,,,,,,,,,,,,,
14-6월,,,,,,,,,> 타이베이 세계대회장 방문,,,,,,,,,,,,,,,,,
aaaa,,,,,,,,,- 세계대회 참관 행사,,,,,,,,,,,,,조:,호텔식,,,
,,,,,,,,,집결지에서 가이드 미팅 ,,,,,,,,,,,,,중:,자유식,,,
,,,,,,,,,> 타이베이의 랜드마크 101빌딩 전망대 관람 및 자유시간,,,,,,,,,,,,,석:,샤브샤브,,,
,,,,,,,,,석식 궈바에서 (샤브샤브) 후 호텔 휴식,,,,,,,,,,,,,(무제한 샤브),,,,
,,,,,,,,,HOTEL:,,,Chong Yu Hotel - 4성급,,,,,,,,,,,,,,
제2일,타이베이,,전용버스,,,전 일,,,호텔 조식 후,,,,,,,,,,,,,,,,,
15-6월,,,,,,,,,> 장개석 총통을 기념하며 세워진 중정기념당,,,,,,,,,,,,,,,,,
월요일,,,,,,,,,중식 후 대회장으로 이동,,,,,,,,,,,,,조:,호텔식,,,
,,,,,,,,,> 타이베이 세계대회장 방문,,,,,,,,,,,,,중:,현지식,,,
,,,,,,,,,파글로리 돔(타이베이 돔) 및 타이베이 난강 전시센터(TaiNEX),,,,,,,,,,,,,석:,현지식,,,
,,,,,,,,,- 대회 등록 및 우정의 집 방문,,,,,,,,,,,,,(10인 1테이블),,,,
,,,,,,,,,> 젊음의 활기가 가득한 서문정거리 (자유 탐방),,,,,,,,,,,,,,,,,
,,,,,,,,,석식 (만찬) 후 호텔 휴식,,,,,,,,,,,,,,,,,
,,,,,,,,,HOTEL:,,,Chong Yu Hotel - 4성급,,,,,,,,,,,,,,
제4일,타이베이,,,,,,,,호텔 조식 후 체크아웃,,,,,,,,,,,,,,,,,
16-6월,,,,,,,,,"> 단수이 옛거리 관광 (홍모성,진리대학 등)",,,,,,,,,,,,,조:,호텔식,,,
화요일,,,,,,,,,중식후 공항으로 이동,,,,,,,,,,,,,중:,현지식,,,
,,,대한항공,,,18:55,,,항공편으로 인천 향발,,,,,,,,,,,,,석:,현지식,,,
,인천,,,,,22:35,,,인천 도착,,,,,,,,,,,,,,,,,
* 상기 일정은 항공 및 현지사정으로 인하여 변동될 수 있습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,